Club Name,URL Checked,Fixed
"Barkham & District Classic Car Club","https://www.facebook.com/groups/1064557097495125/",""
"Beds & Herts Vintage & Classic Car Club","https://www.facebook.com/groups/1407875096141460/",""
"Austin Sheerline Princess Club","https://www.facebook.com/groups/919716152214139/",""
"The Dub Klub","https://www.facebook.com/groups/DubKlub/",""
"British Lambretta Archive","https://www.facebook.com/british.archive/",""
"Capri II Register","https://www.facebook.com/groups/www.capri2register.co.uk/",""
"Chester Vintage Enthusiasts Club","https://www.chestervintage.org.uk",""
"Club Triumph","https://www.clubtriumph.co.uk/",""
"Clay Mills Classic Car Club","https://www.facebook.com/groups/1667328586862889",""
"Congleton Beartown Classic and Vintage Car Club","https://www.facebook.com/groups/CongletonBeartownCCC/",""
"ClubCalibra.com","https://www.facebook.com/groups/1671626729596579",""
"Daimler Enthusiasts Club","https://www.daimlerclub.co.uk",""
"Dorset Japanese Car Club","https://www.facebook.com/groups/DorsetJapaneseCarClub/",""
"Exeter Classic Motorcycle Club Devon","https://www.exeterclassicmotorcycleclub.btck.co.uk",""
"Fiesta Club of Great Britain","https://www.fiestaclubgb.co.uk",""
"Ford Sierra Owners Club","https://www.fordsierraclub.co.uk",""
"Ford Mark III Zephyr and Zodiac Owners Club","https://www.website.lineone.net/~zzoc3",""
"Ford Granada Club UK","https://www.fordgranadaclubuk.freefo.de",""
"Ford MkIV Zephyr & Zodiac Owners Club","https://www.communigate.co.uk/london/mkivzzoc",""
"Granada and Scorpio Enthusiasts Club","https://www.granada-and-scorpio-online.com",""
"Fairthorpe Sports Car Club - The","https://www.fairthorpescc.com",""
"Granada Members Guild","https://www.granadamembersguild.co.uk",""
"Golden Valley Classic Motorcycle Club","https://www.goldenvalleyclassicmotorcycleclub.co.uk",""
"Haflinger 4 Wheel Drive Club of Great Britain","https://www.haflinger4wheeldriveclub.org",""
"Hart MC","https://www.hart-motor-club.co.uk",""
"Granthan Classic Car Club","https://www.granthamclassiccarclub.co.uk",""
"Holden UK Register","https://www.holdenuk.co.uk",""
"Historic Police Motorcycle Group","https://www.policebikes.org.uk",""
"Hindley Motorcycle Club","https://www.hindleymcc.com",""
"Jago Owners Club","https://www.jagoownersclub.co.uk",""
"Honda CX-GL Owners Club","https://www.honda-cx-gl-ownersclub.co.uk",""
"Highland Classic Motorcycle Club","https://www.highlandclassicmotorcycleclub.org.uk",""
"Hillman Owners Club","https://www.hillmanownersclub.co.uk",""
"Just Opel Vauxhall","https://www.facebook.com/groups/578331048986591/",""
"Kirkcaldy and District Motor Club","https://www.kdmc.co.uk",""
